path,filename,n_voxels,true_min,true_max,frac_le_4096,frac_le_2048,frac_le_1500,frac_le_1024,frac_le_1000,frac_ge_1000,frac_ge_1500,frac_ge_2000,frac_ge_3000,pct_0.1_all,pct_1_all,pct_5_all,pct_25_all,pct_50_all,pct_75_all,pct_95_all,pct_99_all,pct_99.9_all,pct_0.1_body,pct_1_body,pct_5_body,pct_25_body,pct_50_body,pct_75_body,pct_95_body,pct_99_body,pct_99.9_body
../../ncct_cect/vindr_ds/nifti_unprocessed_volumes/1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.252.3_standardized.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.252.3_standardized.nii.gz,19533186,-1024.0,1024.0,0.0,0.0,0.0,0.814908,0.843205,0.0,0.0,0.0,0.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-955.9,-687.5,-183.4,-999.9,-999.0,-995.1,-980.2,-966.7,-949.1,-636.7,-280.7,171.6
../../ncct_cect/vindr_ds/nifti_unprocessed_volumes/1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4198401_standardized.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4198401_standardized.nii.gz,20032209,-1024.0,1024.0,0.0,0.0,0.0,0.812872,0.835245,0.0,0.0,0.0,0.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-944.2,-683.3,-165.6,-999.8,-998.5,-993.0,-973.8,-959.6,-934.1,-643.2,-278.4,239.9
../../ncct_cect/vindr_ds/nifti_unprocessed_volumes/1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4202498_standardized.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4202498_standardized.nii.gz,20032209,-1024.0,1024.0,0.0,0.0,0.0,0.806917,0.828635,0.0,0.0,0.0,0.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-928.0,-679.8,-165.1,-999.8,-998.4,-992.2,-970.6,-954.3,-918.2,-647.8,-287.9,233.0
../../ncct_cect/vindr_ds/nifti_unprocessed_volumes/1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.739.3_standardized.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.739.3_standardized.nii.gz,21244122,-1024.0,1024.0,0.0,0.0,0.0,0.817034,0.845267,6e-06,0.0,0.0,0.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-961.0,-679.0,-39.3,-999.9,-999.1,-995.6,-982.6,-970.7,-954.4,-604.6,-139.9,237.8
../../ncct_cect/vindr_ds/nifti_unprocessed_volumes/1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4198401_standardized.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4198401_standardized.nii.gz,21244122,-1024.0,1024.0,0.0,0.0,0.0,0.812102,0.836715,6e-06,0.0,0.0,0.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-944.2,-667.1,-44.4,-999.9,-998.8,-994.2,-977.1,-961.9,-931.3,-617.1,-156.1,222.1
../../ncct_cect/vindr_ds/nifti_unprocessed_volumes/1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4202498_standardized.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4202498_standardized.nii.gz,21244122,-1024.0,1024.0,0.0,0.0,0.0,0.810243,0.833366,7e-06,0.0,0.0,0.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-929.8,-671.6,-43.1,-999.9,-998.6,-993.4,-973.5,-953.0,-920.0,-620.3,-159.4,222.2
../../ncct_cect/vindr_ds/nifti_unprocessed_volumes/1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.309.3_standardized.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.309.3_standardized.nii.gz,29299779,-1024.0,1024.0,0.0,0.0,0.0,0.82536,0.851085,3e-06,0.0,0.0,0.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-955.6,-677.5,-199.0,-999.9,-999.0,-995.2,-980.7,-966.6,-944.7,-614.5,-276.2,108.2
../../ncct_cect/vindr_ds/nifti_unprocessed_volumes/1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4198401_standardized.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4198401_standardized.nii.gz,21244122,-1024.0,1024.0,0.0,0.0,0.0,0.815189,0.838662,5e-06,0.0,0.0,0.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-949.5,-692.1,-201.8,-999.9,-998.6,-993.7,-977.0,-963.1,-939.4,-652.6,-301.3,112.1
../../ncct_cect/vindr_ds/nifti_unprocessed_volumes/1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4202498_standardized.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4202498_standardized.nii.gz,29513646,-1024.0,1024.0,0.0,0.0,0.0,0.818324,0.838535,4.2e-05,0.0,0.0,0.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-926.6,-671.9,-186.1,-999.8,-998.4,-992.6,-973.6,-956.4,-911.3,-626.5,-284.4,159.3
../../ncct_cect/vindr_ds/nifti_unprocessed_volumes/1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.294.3_standardized.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.294.3_standardized.nii.gz,28586889,-1024.0,1024.0,0.0,0.0,0.0,0.815214,0.838978,0.0,0.0,0.0,0.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-952.4,-632.9,-78.3,-999.9,-998.8,-994.5,-979.3,-965.5,-944.0,-580.1,-185.7,206.2
