path,filename,n_voxels,true_min,true_max,frac_le_4096,frac_le_2048,frac_le_1500,frac_le_1024,frac_le_1000,frac_ge_1000,frac_ge_1500,frac_ge_2000,frac_ge_3000,pct_0.1_all,pct_1_all,pct_5_all,pct_25_all,pct_50_all,pct_75_all,pct_95_all,pct_99_all,pct_99.9_all,pct_0.1_body,pct_1_body,pct_5_body,pct_25_body,pct_50_body,pct_75_body,pct_95_body,pct_99_body,pct_99.9_body
../../ncct_cect/vindr_ds/cropped_volumes/1.2.840.113619.2.278.3.717616.260.1578649367.247/1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.252.3_crop.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.252.3_crop.nii.gz,4378325,-1200.0,-700.0,0.0,0.0,0.0,0.534839,0.607936,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1043.4,-974.7,-880.0,-700.0,-700.0,-999.9,-999.0,-995.4,-981.1,-967.6,-951.9,-700.0,-700.0,-700.0
../../ncct_cect/vindr_ds/cropped_volumes/1.2.840.113619.2.278.3.717616.260.1578649367.247/1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4198401_crop.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4198401_crop.nii.gz,6743088,-1200.0,-700.0,0.0,0.0,0.0,0.511694,0.568662,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1030.8,-963.1,-797.4,-700.0,-700.0,-999.8,-998.5,-992.8,-973.2,-958.6,-929.4,-700.0,-700.0,-700.0
../../ncct_cect/vindr_ds/cropped_volumes/1.2.840.113619.2.278.3.717616.260.1578649367.247/1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4202498_crop.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4202498_crop.nii.gz,6881420,-1200.0,-700.0,0.0,0.0,0.0,0.505006,0.559122,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1026.9,-957.0,-812.2,-700.0,-700.0,-999.8,-998.3,-991.9,-969.5,-952.2,-913.8,-700.0,-700.0,-700.0
../../ncct_cect/vindr_ds/cropped_volumes/1.2.840.113619.2.278.3.717616.260.1578649371.734/1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.739.3_crop.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.739.3_crop.nii.gz,6432080,-1200.0,-700.0,0.0,0.0,0.0,0.616658,0.672136,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1099.6,-983.8,-945.3,-700.0,-700.0,-999.9,-999.0,-995.6,-983.2,-972.4,-959.9,-700.0,-700.0,-700.0
../../ncct_cect/vindr_ds/cropped_volumes/1.2.840.113619.2.278.3.717616.260.1578649371.734/1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4198401_crop.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4198401_crop.nii.gz,9455922,-1200.0,-700.0,0.0,0.0,0.0,0.61,0.658638,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1098.4,-975.4,-836.1,-700.0,-700.0,-999.9,-998.7,-993.9,-976.6,-961.2,-927.1,-700.0,-700.0,-700.0
../../ncct_cect/vindr_ds/cropped_volumes/1.2.840.113619.2.278.3.717616.260.1578649371.734/1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4202498_crop.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4202498_crop.nii.gz,9356664,-1200.0,-700.0,0.0,0.0,0.0,0.605707,0.651314,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1096.2,-970.1,-869.9,-700.0,-700.0,-999.8,-998.5,-993.1,-972.8,-951.6,-917.9,-700.0,-700.0,-700.0
../../ncct_cect/vindr_ds/cropped_volumes/1.2.840.113619.2.278.3.717616.260.1578649372.302/1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.309.3_crop.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.309.3_crop.nii.gz,4813808,-1200.0,-700.0,0.0,0.0,0.0,0.552637,0.621357,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1056.9,-977.6,-905.7,-700.0,-700.0,-999.9,-999.1,-995.7,-982.5,-969.3,-953.9,-700.0,-700.0,-700.0
../../ncct_cect/vindr_ds/cropped_volumes/1.2.840.113619.2.278.3.717616.260.1578649372.302/1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4198401_crop.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4198401_crop.nii.gz,7365888,-1200.0,-700.0,0.0,0.0,0.0,0.541304,0.599731,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1048.8,-969.3,-812.5,-700.0,-700.0,-999.9,-998.6,-993.6,-976.6,-962.5,-937.5,-700.0,-700.0,-700.0
../../ncct_cect/vindr_ds/cropped_volumes/1.2.840.113619.2.278.3.717616.260.1578649372.302/1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4202498_crop.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4202498_crop.nii.gz,9385360,-1200.0,-700.0,0.0,0.0,0.0,0.574688,0.621587,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1079.4,-966.3,-833.9,-700.0,-700.0,-999.8,-998.3,-992.3,-972.5,-953.4,-907.2,-700.0,-700.0,-700.0
../../ncct_cect/vindr_ds/cropped_volumes/1.2.840.113619.2.278.3.717616.260.1578649380.289/1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.294.3_crop.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.294.3_crop.nii.gz,3801600,-1200.0,-700.0,0.0,0.0,0.0,0.517057,0.578916,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1033.7,-973.2,-886.1,-700.0,-700.0,-999.9,-998.9,-995.1,-981.3,-968.6,-954.2,-700.0,-700.0,-700.0
